id,name,category,description,target_gender,health_goal,age_range,weight_range
13,Rhodiola Rosea Extract,Thảo dược,"mệt mỏi trầm cảm nhẹ, căng thẳng kéo dài, suy nhược thần kinh, giảm hiệu suất làm việc, kiệt sức burnout, thích nghi độ cao kém, học tập căng thẳng",Adult,"Tăng năng lượng, Giảm stress, Cải thiện tâm trạng, Tập trung",20-60,45-85
14,L-Theanine 200mg,Amino acid,"lo âu căng thẳng, mất ngủ do suy nghĩ, hồi hộp tim đập, khó tập trung, stress công việc, cáu gắt vô cớ, huyết áp tăng do căng thẳng",All,"Thư giãn tự nhiên, Tăng tập trung, Giảm lo âu, Ngủ ngon",18-65,40-85
15,Iron Bisglycinate 25mg,Khoáng chất,"thiếu máu da xanh, mệt mỏi uể oải, hoa mắt chóng mặt, rụng tóc nhiều, thiếu sắt thai kỳ, kinh nguyệt nhiều, ăn chay thiếu sắt, móng tay giòn",Female,"Bổ máu, Tăng năng lượng, Giảm rụng tóc, Da hồng hào",15-50,40-75
16,Vitamin B-Complex Complete,Vitamin,"mệt mỏi stress, thiếu năng lượng trầm trọng, da xỉn tóc rụng, thiếu vitamin B, suy nhược thần kinh, ăn không ngon, tiêu hóa kém, tê bì chân tay",All,"Tăng năng lượng, Cải thiện thần kinh, Làm đẹp da tóc, Hỗ trợ tiêu hóa",18-70,45-95
17,Calcium Citrate + Magnesium,Khoáng chất,"loãng xương đau lưng, chuột rút bắp chân, răng yếu lung lay, thiếu canxi, phụ nữ mãn kinh, người cao tuổi, gãy xương hậu chấn thương",Adult,"Xương chắc khỏe, Răng khỏe mạnh, Giảm chuột rút, Ngừa loãng xương",40-85,45-90
18,Ginkgo Biloba Extract 120mg,Thảo dược,"giảm trí nhớ ngắn hạn, hay quên đồ đạc, thiếu tập trung học tập, ù tai ve kêu, tuần hoàn não kém, chóng mặt hoa mắt, Alzheimer sớm, sa sút trí tuệ",Adult,"Cải thiện trí nhớ, Tăng tuần hoàn não, Giảm ù tai, Tập trung",40-80,50-95
19,5-HTP 100mg,Amino acid,"trầm cảm nhẹ, lo âu mất ngủ, đau đầu migraine, thèm ăn vô độ, rối loạn cảm xúc, PMS nặng, fibromyalgia, hội chứng mệt mỏi mãn",Adult,"Cải thiện tâm trạng, Giảm thèm ăn, Ngủ ngon, Giảm đau đầu",20-65,45-85
20,Quercetin 500mg,Flavonoid,"dị ứng phấn hoa, viêm mũi dị ứng, viêm khớp dạng thấp, hen suyễn, kháng viêm tự nhiên, chống oxy hóa mạnh, cảm lạnh thường xuyên, COVID hậu di chứng",All,"Kháng dị ứng, Kháng viêm, Tăng miễn dịch, Chống oxy hóa",18-75,40-90
21,DHA 1000mg từ Tảo,Omega-3,"trí não trẻ em, mắt mờ khô, phụ nữ mang thai, cho con bú, trí nhớ học tập, ADHD trẻ em, thoái hóa điểm vàng, khô mắt mãn tính",All,"Phát triển trí não, Sáng mắt, Thai kỳ khỏe mạnh",0-80,3-100
22,Glucosamine Sulfate 1500mg,Xương khớp,"viêm khớp gối, đau lưng cột sống, thoái hóa khớp, vận động viên, người tập gym, khớp kêu răng rắc, cứng khớp buổi sáng",Adult,"Giảm đau khớp, Tái tạo sụn, Vận động linh hoạt",30-85,50-100
23,Saw Palmetto 320mg,Thảo dược,"tiểu đêm nhiều lần, tiểu không hết, tuyến tiền liệt phì đại, rụng tóc nam, testosterone thấp, ham muốn giảm, tóc mỏng hói đầu",Male,"Hỗ trợ tiền liệt tuyến, Giảm rụng tóc, Cân bằng hormone",40-75,55-100
24,Maca Root 1000mg,Thảo dược,"ham muốn thấp, sinh lý yếu, mệt mỏi mãn tính, hormone mất cân bằng, mãn kinh khó chịu, sinh sản kém, thiếu năng lượng tình dục",Adult,"Tăng ham muốn, Cân bằng hormone, Tăng năng lượng, Hỗ trợ sinh sản",25-65,45-85
25,Spirulina Organic 1000mg,Siêu thực phẩm,"thiếu dinh dưỡng, ăn chay thiếu chất, detox cơ thể, thiếu máu, hệ miễn dịch yếu, da xỉn màu, mệt mỏi kéo dài, hồi phục sau ốm",All,"Bổ sung dinh dưỡng, Tăng miễn dịch, Thanh lọc cơ thể, Làm đẹp da",12-80,35-95
26,Evening Primrose Oil 1300mg,Dầu thực vật,"PMS nặng, đau bụng kinh, khô âm đạo, viêm khớp dạng thấp, eczema da, mụn trứng cá nội tiết, nóng bừng mãn kinh",Female,"Cân bằng nội tiết, Giảm PMS, Làm đẹp da, Giảm viêm",15-65,40-80
27,Chlorophyll Liquid 100ml,Detox,"hôi miệng, mùi cơ thể, detox kim loại nặng, táo bón, da mụn, hơi thở có mùi, gan nhiễm độc, cơ thể có mùi",All,"Thanh lọc cơ thể, Giảm mùi hôi, Detox gan, Cải thiện tiêu hóa",18-70,45-90
28,Milk Thistle 1000mg,Bảo vệ gan,"gan nhiễm mỡ, men gan cao, uống rượu bia, viêm gan, giải độc gan, ngộ độc thuốc, da vàng, mệt mỏi do gan",Adult,"Bảo vệ gan, Hạ men gan, Giải độc, Tái tạo tế bào gan",20-75,45-95
29,Turmeric 95% Curcumin,Chống viêm,"viêm khớp, đau nhức toàn thân, viêm dạ dày, chống viêm sau tập, thoái hóa khớp, đau cơ xơ hóa, viêm ruột IBD",Adult,"Kháng viêm mạnh, Giảm đau, Chống oxy hóa, Bảo vệ tiêu hóa",25-80,45-100
30,Valerian Root 1000mg,Thảo dược,"mất ngủ kinh niên, lo âu, căng thẳng, bồn chồn, khó thư giãn, hội chứng chân không yên, căng cơ do stress",Adult,"An thần tự nhiên, Giảm lo âu, Ngủ ngon, Thư giãn cơ",20-70,45-90
